,variables
598,card_Merch_num_state_variability_min_30
599,card_Merch_num_state_variability_avg_30
600,card_Merch_num_state_actual/total_30
601,card_Merch_num_state_actual/max_30
602,card_Merch_num_state_actual/avg_30
603,card_Merch_num_state_std_30
604,card_Merch_num_state_total_30
605,card_Merch_num_state_max_30
606,card_Merch_num_state_avg_30
607,card_Merch_num_state_count_30
608,card_Merch_num_state_variability_std_14
609,card_Merch_num_state_variability_cum_14
610,card_Merch_num_state_variability_max_14
611,card_Merch_num_state_variability_min_14
612,card_Merch_num_state_variability_avg_14
613,card_Merch_num_state_actual/total_14
614,card_Merch_num_state_actual/max_14
615,card_Merch_num_state_actual/avg_14
616,card_Merch_num_state_std_14
617,card_Merch_num_state_total_14
618,card_Merch_num_state_max_14
619,card_Merch_num_state_avg_14
620,card_Merch_num_state_count_14
621,card_Merch_num_state_variability_std_7
622,card_Merch_num_state_variability_cum_7
623,card_Merch_num_state_variability_max_7
624,card_Merch_num_state_variability_min_7
625,card_Merch_num_state_variability_avg_7
626,card_Merch_num_state_actual/total_7
627,card_Merch_num_state_actual/max_7
628,card_Merch_num_state_actual/avg_7
629,card_Merch_num_state_std_7
630,card_Merch_num_state_total_7
631,card_Merch_num_state_max_7
632,card_Merch_num_state_avg_7
633,card_Merch_num_state_count_7
634,card_Merch_num_state_variability_std_3
635,card_Merch_num_state_variability_cum_3
636,card_Merch_num_state_variability_max_3
637,card_Merch_num_state_variability_min_3
638,card_Merch_num_state_variability_avg_3
639,card_Merch_num_state_actual/total_3
640,card_Merch_num_state_actual/max_3
641,card_Merch_num_state_actual/avg_3
642,card_Merch_num_state_std_3
643,card_Merch_num_state_total_3
644,card_Merch_num_state_max_3
645,card_Merch_num_state_avg_3
646,card_Merch_num_state_count_3
647,card_Merch_num_state_variability_std_1
648,card_Merch_num_state_variability_cum_1
649,card_Merch_num_state_variability_max_1
650,card_Merch_num_state_variability_min_1
651,card_Merch_num_state_variability_avg_1
652,card_Merch_num_state_actual/total_1
653,card_Merch_num_state_actual/max_1
654,card_Merch_num_state_actual/avg_1
655,card_Merch_num_state_std_1
656,card_Merch_num_state_total_1
657,card_Merch_num_state_max_1
658,card_Merch_num_state_avg_1
659,card_Merch_num_state_count_1
660,card_Merch_num_state_variability_std_0
661,card_Merch_num_state_variability_cum_0
662,card_Merch_num_state_variability_max_0
663,card_Merch_num_state_variability_min_0
664,card_Merch_num_state_variability_avg_0
665,card_Merch_num_state_actual/total_0
666,card_Merch_num_state_actual/max_0
667,card_Merch_num_state_actual/avg_0
668,card_Merch_num_state_std_0
669,card_Merch_num_state_total_0
670,card_Merch_num_state_max_0
671,card_Merch_num_state_avg_0
672,card_Merch_num_state_count_0
673,card_Merch_num_state_day_since
674,card_Merch_num_des_variability_std_30
675,card_Merch_num_des_variability_cum_30
676,card_Merch_num_des_variability_max_30
677,card_Merch_num_des_variability_min_30
